GeneID,Tc_ant_1,Tc_ant_2,Tc_ant_3,Tc_ant_5,Tc_leg_1,Tc_leg_2,danaus_leg1,danaus_leg3,danaus_leg4,danaus_leg5,danaus_leg6,danaus_ant1,danaus_ant2,danaus_ant3,danaus_ant4,danaus_ant5,mel_an1,mel_an2,mel_an3,mel_an4,mel_an5,mel_an6,mel_leg1,mel_leg2,mel_leg3,mel_leg4
TC000399,2,4,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000403,86,25,59,8,54,232,6,18,15,1,100,25,55,0,0,31,128,457,268,248,227,136,127,82,180,332
TC000405,1440,1512,1610,536,116,750,427,574,214,29,3930,798,539,541,285,724,196,306,180,282,98,109,140,38,84,178
TC000406,1095,872,1182,319,57,492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000407,3142,1453,3432,647,100,743,212,216,138,27,2592,346,167,344,175,300,0,0,0,0,0,0,0,0,0,1
TC000408,2029,2651,1760,821,268,3279,445,633,503,38,2508,108,90,62,173,61,0,0,0,0,0,0,0,0,0,0
TC000411,26,5,15,2,52,414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000412,2636,2385,1516,569,90,1234,335,217,143,19,2446,399,242,57,116,275,0,0,0,2,2,4,0,0,0,1
TC000415,181,22,48,6,0,115,4,22,1,2,197,14,13,25,0,32,2,0,3,4,7,10,2,0,2,1
TC000424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,1495,511,1057,200,308,153,32,140,284
TC000425,361,80,281,55,8,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000426,0,0,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000430,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000431,1134,2673,1094,930,5614,38210,37608,71575,36612,1882,738717,1,2,0,4,9,0,0,0,0,0,0,0,0,0,0
TC000432,2506,20287,2647,8832,3526,24701,50,42,85,4,542,0,0,0,27,7,2,44,7,12,486,5,9,2,472,5
TC000433,961,244,1007,118,7,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000434,3017,1542,3131,589,149,969,757,640,810,64,11872,662,448,536,352,559,0,29,0,6,0,0,3,0,0,0
TC000435,3753,4008,3717,1679,267,1864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000440,283,2568,135,365,240,3723,963,1379,357,66,6346,645,334,548,160,373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000442,2189,17523,917,4116,2292,20486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249,503,255,197,159,118,137,56,174,319
TC000443,30935,15299,32509,6503,1441,9961,8362,7896,6690,783,56116,4094,2306,1949,1924,3904,0,0,0,0,0,0,0,0,0,0
TC000444,186,20,156,15,34,248,0,0,1,0,0,0,0,0,0,0,6,25,0,2,0,0,0,1,0,1
TC000445,78,14,63,4,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000446,0,0,0,0,0,0,99,67,34,1,499,137,112,68,71,98,29,105,26,80,34,21,52,8,43,27
